bvid, description, title
BV1eC4y1t7h7, - 店址：青岛市-李沧区-大崂路与黑龙江中路交叉口东北150米，本宫烧烤小龙虾, 20元畅饮青岛鲜啤，三人豪饮40斤，酒局无四哥，阿昊称大王
BV1nf4y1Q779, -, 大夏天室温28度，弄个单人小火锅就着白酒，酣畅淋漓一顿整
BV1ih41197fz, -, 无剪辑喝播，边喝边聊来展示下我的真实速度，其实并不快
BV1Si4y1g7Au, -, 吃麦当劳也能喝起来，什么叫做当代酒仙啊？战术后仰
BV1YK4y1Y7L2, -, 小伙用泡菜坛酿啤酒，一次成功，家酿竟然如此简单
BV1E64y1c76u, - 店址：青岛市市南区天津路37号，老街里海鲜烧烤, 给出差回来的朋友接风，点一桌子海鲜，三个人一桶40斤干完
BV19T4y157Vc, - 店址：青岛市市北区宜阳路，张哥啤酒屋, 三个小菜一壶酒，下班来喝个小酒，放松一下
BV1ST4y157Uj, -, 雨天在家喝一杯，蒜蓉茄子和蒸扇贝，下酒倍儿棒
BV1HK411T7Jc, - 店址：市北区小村庄附近，地图上搜不到他家, 年龄跨度20岁的酒局，有说有笑有呲花，这就是青岛啤酒屋的魅力
BV1av411v7UV, -, 青岛国际啤酒节，我来玩一趟花了125，朋友说我脑子被猛犸踢了
BV1LC4y187yo, - 店址：青岛市-市北区-四流南路213号，开元春酒馆, 三人约战酒馆，程昊又被碳酸教父中国分父上了一课，醉到不省人事
BV1eh411Z71a, - 店址：青岛市-市北区-人民一路52庚号附近，天天乐啤酒屋, 用啤酒和小菜结束忙碌的一天，路边喝酒感觉特通透，喝一杯打一杯新鲜啊
BV1PZ4y1M71o, - 店址：T9 Beer Supermarket，青岛市-市南区-江西路157-4, 换个风格来趟酒吧，六瓶精酿下肚微醺，又把酒吧喝成了啤酒屋
BV1Kt4y1D7tE, - 店址：青岛市市北区，宜阳路93号，张哥啤酒屋, 3元大肉串和拌牛板筋，花62喝一顿，把啤酒屋喝成了爵士乐酒馆
BV1fz4y1D7B1, -, 今天不喝啤酒了，来健身房练练，完事来瓶白花蛇草水
BV1A54y1B7Mf, - 店址：山东省-青岛市-市南区-天津路37号，老街里海鲜烧烤, 青岛火车站附近的实惠餐馆，海鲜和老城区差不多价，老板还送炒鸡
BV1T54y1S71n, -, 20元畅饮青岛鲜啤，四个人直接按桶喝，给老板上一课
BV1R54y1q71Y, -, 「无言喝播」烧烤配青岛散装啤酒，雨天只敢在家附近喝，也挺惬意
BV1Qa4y1a7dh, -, 酒后冲动订机票！探访拼多多9元一麻袋的洋葱为什么这么便宜
BV1rV411B7Mw, -, 简单介绍下青岛塑料袋啤酒，买了小菜，路边喝点
BV1xZ4y1u7i7, -, 58元畅饮？给青岛啤酒上一课，豪饮12斤二厂纯生
BV1Ha4y1a7D5, -, 海螺拌黄瓜加上烤鸡腿，六斤啤酒下肚，步行回家四舍五入没吃晚饭
BV1qv411i7Uy, -, 一晚上喝了三顿，第二天打开相机才回想起来细节，这次真是过瘾了
BV1jk4y1B7jV, -, 一镜到底，无剪辑喝播，青岛原浆啤酒配青椒，吨吨吨
BV1UA411e7zd, -, 三鲜锅贴和微波烤腱子肉，加上散装啤酒，程昊35元搞定晚餐
BV1CC4y1h7ZT, -, 七天没喝酒了，早饭来个白花蛇草水就包子，还有崂山可乐
BV12f4y117aM, -, 哥儿几个年后第一次相聚，人一多程昊就耍酒疯，这可咋办
BV16K4y147gh, -, 带妹喝酒，来青岛科技大学四方校区外的餐馆，顺便满足粉丝的愿望
BV1Wt4y197uL, -, 陪大学毕业的妹妹面试，俩人在海边喝了起来，再现空气下酒法
BV15K4y147td, -, 雨夜来碗野馄饨，加上六串烤肉，一串一杯这是什么神仙喝法？
BV15D4y1Q7Lo, -, 「孤独的酒彪子」合集
BV1jg4y1q7j8, -, 花149元大吃一顿，烤鲅鱼加扇贝生蚝，618别人购物我吃喝
BV1jA411i7CL, -, 参观啤酒设备厂，最便宜的才六七万？程昊决定明年开啤酒屋
BV1SZ4y1H74p, -, 啤酒人参加速饮大赛，现场大呲花，去烧烤摊吃一顿平复心情
BV11a4y1Y7WY, -, 下班回家路上，弄点鸡架、钉螺、凉拌菜，开喝！
BV1ki4y1s7fw, -, 闷热夜晚不想归家，路边吃烧烤，毛豆就啤酒
BV1aZ4y1W7TY, -, 青岛特色戳子肉，店里不准备任何菜，程昊自带五花肉和土豆去加工
